epoch,accuracy,loss,val_accuracy,val_loss
1,1.0,0.028098187532090937,0.9333333333333333,1.276891006737314
2,1.0,0.026930802005558425,0.9666666666666667,1.2671396528492787
3,1.0,0.031826395200388755,0.9333333333333333,0.15323719231386687
4,1.0,0.026957445940221758,0.9,0.17702449399642553
5,1.0,0.027750511377984552,0.9333333333333333,0.16007668474287154
6,0.9916666666666667,0.027114406251459645,0.9666666666666667,1.2679018616504942
7,1.0,0.027110639225768677,0.9333333333333333,0.1512258265736313
8,1.0,0.025043177857678456,0.9333333333333333,0.1983438157047429
9,1.0,0.025884372337290684,0.9333333333333333,0.17786582924262348
10,1.0,0.027514652742438986,0.9,0.19510986864389526
